Name,Team,Position,Age,SF Value,Non-SF Value,Pick Number (10-team),Pick Number (12-team),Pick Number (16-team),Pick Number (20-team),Pick Number (32-team)
Chris Evans,CIN,RB,27.0,527,642,45.04,37.12,28.12,23.04,14.28
Justyn Ross,KCC,WR,25.0,518,642,45.05,38.01,28.13,23.05,14.29
Tyquan Thornton,FA,WR,24.0,510,662,45.06,38.02,28.14,23.06,14.30
Will Mallory,IND,TE,25.0,507,527,45.07,38.03,28.15,23.07,14.31
Scotty Miller,PIT,WR,27.0,492,534,45.08,38.04,28.16,23.08,14.32
Deven Thompkins,CAR,WR,25.0,492,495,45.09,38.05,29.01,23.09,15.01
Justin Shorter,LVR,WR,24.0,489,504,45.10,38.06,29.02,23.10,15.02
Trayveon Williams,CIN,RB,27.0,473,529,46.01,38.07,29.03,23.11,15.03
Harrison Bryant,LVR,TE,26.0,468,436,46.02,38.08,29.04,23.12,15.04
Jarrett Stidham,DEN,QB,28.0,467,164,46.03,38.09,29.05,23.13,15.05
Brandon Powell,MIN,WR,29.0,466,404,46.04,38.10,29.06,23.14,15.06
Gerald Everett,CHI,TE,30.0,462,487,46.05,38.11,29.07,23.15,15.07
Ihmir Smith-Marsette,NYG,WR,25.0,443,499,46.06,38.12,29.08,23.16,15.08
Stetson Bennett,LAR,QB,27.0,441,204,46.07,39.01,29.09,23.17,15.09
Marquez Callaway,TBB,WR,26.0,437,421,46.08,39.02,29.10,23.18,15.10
Erik Ezukanma,MIA,WR,24.0,437,571,46.09,39.03,29.11,23.19,15.11
Chase Edmonds,TBB,RB,28.0,426,500,46.10,39.04,29.12,23.20,15.12
Tanner Hudson,CIN,TE,30.0,418,364,47.01,39.05,29.13,24.01,15.13
Bryce Ford-Wheaton,NYG,WR,24.0,408,400,47.02,39.06,29.14,24.02,15.14
Raheem Blackshear,CAR,RB,26.0,408,419,47.03,39.07,29.15,24.03,15.15
Jeffery Wilson,MIA,RB,29.0,401,451,47.04,39.08,29.16,24.04,15.16
Tyrod Taylor,NYJ,QB,35.0,399,165,47.05,39.09,30.01,24.05,15.17
Andrew Ogletree,IND,TE,26.0,399,451,47.06,39.10,30.02,24.06,15.18
Cordarrelle Patterson,PIT,RB,33.0,393,386,47.07,39.11,30.03,24.07,15.19
JaMycal Hasty,NEP,RB,28.0,379,396,47.08,39.12,30.04,24.08,15.20
Hunter Long,LAR,TE,26.0,374,359,47.09,40.01,30.05,24.09,15.21
Ben Skowronek,PIT,WR,27.0,368,364,47.10,40.02,30.06,24.10,15.22
Jaelon Darden,SEA,WR,26.0,366,411,48.01,40.03,30.07,24.11,15.23
Mo Alie-Cox,IND,TE,31.0,355,363,48.02,40.04,30.08,24.12,15.24
Mitchell Trubisky,BUF,QB,30.0,350,166,48.03,40.05,30.09,24.13,15.25
A.T. Perry,FA,WR,25.0,338,437,48.04,40.06,30.10,24.14,15.26
Carson Wentz,KCC,QB,32.0,336,155,48.05,40.07,30.11,24.15,15.27
Donovan Peoples-Jones,FA,WR,25.0,322,309,48.06,40.08,30.12,24.16,15.28
Ian Thomas,CAR,TE,28.0,317,351,48.07,40.09,30.13,24.17,15.29
Ezekiel Elliott,FA,RB,29.0,315,333,48.08,40.10,30.14,24.18,15.30
Joshua Kelley,TEN,RB,27.0,312,425,48.09,40.11,30.15,24.19,15.31
Robert Woods,HOU,WR,32.0,309,281,48.10,40.12,30.16,24.20,15.32
Deonte Harty,BAL,WR,27.0,302,406,49.01,41.01,31.01,25.01,16.01
